Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,0,16,60
2020-03-19,2,19,53
2020-03-20,3,31,82
2020-03-21,3,30,79
2020-03-22,4,31,101
2020-03-23,13,34,113
2020-03-24,22,34,114
2020-03-25,27,42,153
2020-03-26,32,40,163
2020-03-27,34,42,170
2020-03-28,35,45,202
2020-03-29,37,48,218
2020-03-30,37,46,211
2020-03-31,42,40,166
2020-04-01,45,44,190
2020-04-02,63,56,202
2020-04-03,67,62,212
2020-04-04,69,66,255
2020-04-05,73,65,259
2020-04-06,76,76,284
2020-04-07,83,79,307
2020-04-08,94,74,310
2020-04-09,95,73,290
2020-04-10,102,79,350
2020-04-11,106,72,325
2020-04-12,116,72,344
2020-04-13,119,73,340
2020-04-14,133,73,346
2020-04-15,141,78,361
2020-04-16,149,81,384
2020-04-17,154,74,380
2020-04-18,159,77,391
2020-04-19,165,66,367
2020-04-20,171,65,367
2020-04-21,178,63,366
2020-04-22,179,63,361
2020-04-23,189,56,340
2020-04-24,200,54,303
2020-04-25,203,59,292
2020-04-26,207,50,285
2020-04-27,213,52,288
2020-04-28,215,53,288
2020-04-29,217,54,285
2020-04-30,218,57,287
2020-05-01,218,56,274
2020-05-02,218,57,278
2020-05-03,220,57,276
2020-05-04,220,50,273
2020-05-05,221,34,267
2020-05-06,224,27,270
2020-05-07,227,28,244
2020-05-08,228,28,225
2020-05-09,230,27,226
2020-05-10,230,24,218
2020-05-11,230,22,174
2020-05-12,234,24,141
2020-05-13,235,23,135
2020-05-14,235,23,133
2020-05-15,235,22,121
2020-05-16,235,22,121
2020-05-17,235,22,119
2020-05-18,235,22,119
2020-05-19,237,20,108
2020-05-20,238,20,106
2020-05-21,238,20,104
2020-05-22,239,17,98
2020-05-23,239,17,99
2020-05-24,239,17,99
2020-05-25,239,14,84
2020-05-26,241,13,66
2020-05-27,241,11,53
2020-05-28,241,9,48
2020-05-29,242,8,44
2020-05-30,243,7,44
2020-05-31,243,7,44
2020-06-01,243,7,45
2020-06-02,243,5,44
2020-06-03,244,5,41
2020-06-04,246,5,42
2020-06-05,246,3,37
2020-06-06,247,2,35
2020-06-07,247,2,35
2020-06-08,247,1,34
2020-06-09,248,1,29
2020-06-10,248,1,30
2020-06-11,248,2,31
2020-06-12,248,2,31
2020-06-13,248,2,28
2020-06-14,248,2,28
2020-06-15,248,2,28
2020-06-16,248,2,29
2020-06-17,248,2,27
2020-06-18,248,2,24
2020-06-19,248,2,24
2020-06-20,248,2,24
2020-06-21,248,2,24
2020-06-22,248,2,24
2020-06-23,248,2,25
2020-06-24,248,2,24
2020-06-25,248,2,23
2020-06-26,248,2,23
2020-06-27,248,2,24
2020-06-28,248,2,25
2020-06-29,248,2,24
2020-06-30,248,2,24
2020-07-01,248,1,18
2020-07-02,249,1,18
2020-07-03,249,1,12
2020-07-04,249,1,11
2020-07-05,249,1,11
2020-07-06,249,1,8
2020-07-07,250,1,6
2020-07-08,250,1,7
2020-07-09,250,1,7
2020-07-10,250,1,7
2020-07-11,250,1,10
2020-07-12,250,1,10
2020-07-13,250,1,10
2020-07-14,250,1,10
2020-07-15,250,1,9
2020-07-16,250,2,9
2020-07-17,250,2,9
2020-07-18,250,2,9
2020-07-19,250,2,9
2020-07-20,250,2,8
2020-07-21,250,2,6
2020-07-22,250,2,6
2020-07-23,250,2,6
2020-07-24,250,2,6
2020-07-25,250,2,7
2020-07-26,250,2,7
2020-07-27,250,2,6
2020-07-28,250,1,6
2020-07-29,250,1,5
2020-07-30,250,0,3
2020-07-31,250,0,3
2020-08-01,250,0,3
2020-08-02,250,0,3
2020-08-03,250,0,3
2020-08-04,250,0,3
2020-08-05,251,0,2
2020-08-06,251,0,2
2020-08-07,251,0,2
2020-08-08,251,0,2
2020-08-09,251,0,2
2020-08-10,251,0,2
2020-08-11,251,0,2
2020-08-12,251,0,2
2020-08-13,251,0,2
2020-08-14,251,0,2
2020-08-15,251,0,2
2020-08-16,251,0,2
2020-08-17,251,0,3
2020-08-18,251,0,3
2020-08-19,251,0,2
2020-08-20,251,1,3
2020-08-21,251,1,3
2020-08-22,251,1,3
2020-08-23,251,1,3
2020-08-24,251,1,4
2020-08-25,251,1,4
2020-08-27,251,1,4
2020-08-26,251,1,2
2020-08-28,251,1,4
2020-08-29,251,1,4
2020-08-30,251,1,4
2020-08-31,251,1,4
2020-09-01,251,1,5
2020-09-02,251,1,7
2020-09-03,251,2,8
2020-09-04,251,2,9
2020-09-05,251,2,9
2020-09-06,251,2,9
2020-09-07,251,2,8
2020-09-08,251,2,8
2020-09-09,251,2,7
2020-09-10,252,3,7
2020-09-11,252,3,6
2020-09-12,252,3,6
2020-09-13,252,3,6
2020-09-14,252,3,6
2020-09-15,252,3,7
2020-09-16,252,3,7
2020-09-17,253,3,12
2020-09-18,253,3,11
2020-09-19,253,3,11
2020-09-20,253,3,11
2020-09-21,253,3,13
2020-09-22,253,3,13
2020-09-23,253,4,20
2020-09-24,253,4,20
2020-09-25,254,4,22
2020-09-26,254,5,27
2020-09-27,254,5,27
2020-09-28,254,5,26
2020-09-29,254,7,28
2020-09-30,257,11,31
2020-10-01,257,11,30
2020-10-02,258,11,32
2020-10-03,258,11,32
2020-10-04,258,11,32
2020-10-05,258,11,35
2020-10-06,258,9,35
2020-10-07,260,9,31
2020-10-08,261,7,31
2020-10-09,263,6,28
2020-10-10,263,6,35
2020-10-11,263,6,35
2020-10-12,263,6,38
2020-10-13,264,11,48
2020-10-14,267,12,49
