Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,1,1
2020-03-21,0,1,1
2020-03-22,0,1,1
2020-03-23,0,2,3
2020-03-24,0,2,3
2020-03-25,0,2,3
2020-03-26,0,2,4
2020-03-27,0,3,6
2020-03-28,0,4,7
2020-03-29,0,6,9
2020-03-30,0,7,12
2020-03-31,2,8,12
2020-04-01,3,9,12
2020-04-02,4,7,15
2020-04-03,5,7,21
2020-04-04,5,8,27
2020-04-05,5,11,34
2020-04-06,6,10,36
2020-04-07,7,9,34
2020-04-08,7,9,36
2020-04-09,7,8,37
2020-04-10,7,10,48
2020-04-11,7,10,53
2020-04-12,7,10,56
2020-04-13,8,11,60
2020-04-14,12,10,58
2020-04-15,12,11,55
2020-04-16,12,11,63
2020-04-17,12,10,61
2020-04-18,14,11,60
2020-04-19,15,11,59
2020-04-20,18,10,58
2020-04-21,19,9,58
2020-04-22,21,7,55
2020-04-23,21,7,51
2020-04-24,21,8,52
2020-04-25,22,8,52
2020-04-26,22,7,51
2020-04-27,22,6,50
2020-04-28,22,6,50
2020-04-29,22,6,51
2020-04-30,22,4,52
2020-05-01,22,4,50
2020-05-02,23,4,49
2020-05-03,23,4,49
2020-05-04,23,4,49
2020-05-05,23,4,48
2020-05-06,24,3,46
2020-05-07,24,3,42
2020-05-08,24,3,42
2020-05-09,24,3,42
2020-05-10,25,1,41
2020-05-11,25,3,42
2020-05-12,25,4,44
2020-05-13,25,2,39
2020-05-14,25,2,38
2020-05-15,25,3,39
2020-05-16,25,3,38
2020-05-17,25,3,38
2020-05-18,25,3,38
2020-05-19,25,3,38
2020-05-20,25,2,29
2020-05-21,25,2,24
2020-05-22,25,2,24
2020-05-23,25,2,24
2020-05-24,26,2,23
2020-05-25,26,2,23
2020-05-26,26,2,21
2020-05-27,27,1,18
2020-05-28,27,1,17
2020-05-29,27,1,8
2020-05-30,27,1,11
2020-05-31,27,1,11
2020-06-01,27,1,11
2020-06-02,27,1,11
2020-06-03,27,1,12
2020-06-04,27,1,12
2020-06-05,27,1,12
2020-06-06,27,1,12
2020-06-07,27,1,12
2020-06-08,27,1,11
2020-06-09,27,1,10
2020-06-10,27,1,10
2020-06-11,27,1,10
2020-06-12,27,1,10
2020-06-13,27,1,10
2020-06-14,27,1,10
2020-06-15,27,1,10
2020-06-16,27,1,10
2020-06-17,27,1,10
2020-06-18,27,1,10
2020-06-19,27,1,10
2020-06-20,27,1,11
2020-06-21,27,1,11
2020-06-22,27,1,12
2020-06-23,27,1,12
2020-06-24,27,1,9
2020-06-25,27,1,9
2020-06-26,27,1,8
2020-06-27,27,1,8
2020-06-28,27,1,8
2020-06-29,27,1,8
2020-06-30,27,1,8
2020-07-01,27,1,7
2020-07-02,27,1,7
2020-07-03,27,1,8
2020-07-04,27,1,8
2020-07-05,27,1,8
2020-07-06,27,1,8
2020-07-07,27,1,8
2020-07-08,27,1,7
2020-07-09,27,1,7
2020-07-10,27,1,7
2020-07-11,27,1,7
2020-07-12,27,1,7
2020-07-13,27,1,7
2020-07-14,27,1,7
2020-07-15,27,1,8
2020-07-16,27,1,9
2020-07-17,28,0,8
2020-07-18,28,0,7
2020-07-19,28,0,7
2020-07-20,28,0,6
2020-07-21,28,0,2
2020-07-22,28,0,2
2020-07-23,28,0,2
2020-07-24,28,0,0
2020-07-25,28,0,0
2020-07-26,28,0,0
2020-07-27,28,0,0
2020-07-28,28,0,0
2020-07-29,28,0,0
2020-07-30,28,0,0
2020-07-31,28,0,0
2020-08-01,28,0,0
2020-08-02,28,0,0
2020-08-03,28,0,0
2020-08-04,28,0,0
2020-08-05,28,0,0
2020-08-06,28,0,0
2020-08-07,28,0,0
2020-08-08,28,0,0
2020-08-09,28,0,0
2020-08-10,28,0,0
2020-08-11,28,0,0
2020-08-12,28,0,0
2020-08-13,28,0,0
2020-08-14,28,0,0
2020-08-15,28,0,0
2020-08-16,28,0,0
2020-08-17,28,0,0
2020-08-18,28,0,0
2020-08-19,28,0,0
2020-08-20,28,0,0
2020-08-21,28,0,0
2020-08-22,28,0,0
2020-08-23,28,0,0
2020-08-24,28,0,0
2020-08-25,28,0,1
2020-08-27,28,0,1
2020-08-26,28,0,1
2020-08-28,28,0,1
2020-08-29,28,0,1
2020-08-30,28,0,1
2020-08-31,28,0,1
2020-09-01,28,0,1
2020-09-02,28,0,2
2020-09-03,28,0,2
2020-09-04,28,0,3
2020-09-05,28,0,3
2020-09-06,28,0,3
2020-09-07,28,0,4
2020-09-08,28,0,4
2020-09-09,28,0,4
2020-09-10,28,0,4
2020-09-11,28,0,4
2020-09-12,28,0,4
2020-09-13,28,0,4
