dep,jour,P,T,cl_age90,pop,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
70,2020-05-13,1,101,0,233194.0,0.9900990099009901,,,
70,2020-05-14,5,131,0,233194.0,3.816793893129771,,,
70,2020-05-15,2,206,0,233194.0,0.9708737864077669,,,
70,2020-05-16,0,103,0,233194.0,0.0,,,
70,2020-05-17,0,26,0,233194.0,0.0,,,
70,2020-05-18,1,211,0,233194.0,0.47393364928909953,,,
70,2020-05-19,1,255,0,233194.0,0.39215686274509803,10.0,1033.0,0.9680542110358179
70,2020-05-20,1,180,0,233194.0,0.5555555555555556,10.0,1112.0,0.8992805755395683
70,2020-05-21,0,11,0,233194.0,0.0,5.0,992.0,0.5040322580645161
70,2020-05-22,1,166,0,233194.0,0.6024096385542169,4.0,952.0,0.42016806722689076
70,2020-05-23,0,80,0,233194.0,0.0,4.0,929.0,0.4305705059203444
70,2020-05-24,0,8,0,233194.0,0.0,4.0,911.0,0.43907793633369924
70,2020-05-25,0,207,0,233194.0,0.0,3.0,907.0,0.33076074972436603
70,2020-05-26,0,203,0,233194.0,0.0,2.0,855.0,0.23391812865497078
70,2020-05-27,1,195,0,233194.0,0.5128205128205128,2.0,870.0,0.22988505747126436
70,2020-05-28,2,178,0,233194.0,1.1235955056179776,4.0,1037.0,0.3857280617164899
70,2020-05-29,1,177,0,233194.0,0.5649717514124294,4.0,1048.0,0.38167938931297707
70,2020-05-30,1,118,0,233194.0,0.847457627118644,5.0,1086.0,0.46040515653775327
70,2020-05-31,0,23,0,233194.0,0.0,5.0,1101.0,0.4541326067211626
70,2020-06-01,0,57,0,233194.0,0.0,5.0,951.0,0.5257623554153523
70,2020-06-02,2,143,0,233194.0,1.3986013986013985,7.0,891.0,0.7856341189674524
70,2020-06-03,3,178,0,233194.0,1.6853932584269662,9.0,874.0,1.0297482837528604
70,2020-06-04,0,147,0,233194.0,0.0,7.0,843.0,0.8303677342823249
70,2020-06-05,0,137,0,233194.0,0.0,6.0,803.0,0.7471980074719801
70,2020-06-06,1,132,0,233194.0,0.7575757575757576,6.0,817.0,0.7343941248470013
70,2020-06-07,0,43,0,233194.0,0.0,6.0,837.0,0.7168458781362007
70,2020-06-08,0,188,0,233194.0,0.0,6.0,968.0,0.6198347107438017
70,2020-06-09,1,179,0,233194.0,0.5586592178770949,5.0,1004.0,0.49800796812749004
70,2020-06-10,1,163,0,233194.0,0.6134969325153374,3.0,989.0,0.3033367037411527
70,2020-06-11,2,102,0,233194.0,1.9607843137254901,5.0,944.0,0.5296610169491525
70,2020-06-12,1,136,0,233194.0,0.7352941176470588,6.0,943.0,0.6362672322375398
70,2020-06-13,0,140,0,233194.0,0.0,5.0,951.0,0.5257623554153523
70,2020-06-14,0,45,0,233194.0,0.0,5.0,953.0,0.5246589716684155
70,2020-06-15,0,148,0,233194.0,0.0,5.0,913.0,0.547645125958379
70,2020-06-16,0,150,0,233194.0,0.0,4.0,884.0,0.4524886877828055
70,2020-06-17,1,121,0,233194.0,0.8264462809917356,4.0,842.0,0.4750593824228029
70,2020-06-18,0,285,0,233194.0,0.0,2.0,1025.0,0.1951219512195122
70,2020-06-19,1,164,0,233194.0,0.6097560975609756,2.0,1053.0,0.1899335232668566
70,2020-06-20,0,93,0,233194.0,0.0,2.0,1006.0,0.19880715705765406
