Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,1,3,26
2020-03-19,2,11,33
2020-03-20,4,15,43
2020-03-21,6,21,48
2020-03-22,8,21,63
2020-03-23,10,22,65
2020-03-24,11,26,80
2020-03-25,12,27,84
2020-03-26,18,29,84
2020-03-27,21,37,100
2020-03-28,22,38,91
2020-03-29,25,56,148
2020-03-30,26,53,152
2020-03-31,34,51,148
2020-04-01,34,53,161
2020-04-02,35,62,186
2020-04-03,43,72,173
2020-04-04,46,76,175
2020-04-05,49,73,183
2020-04-06,51,75,183
2020-04-07,58,81,196
2020-04-08,59,81,199
2020-04-09,60,77,199
2020-04-10,65,75,190
2020-04-11,68,77,186
2020-04-12,72,75,213
2020-04-13,72,75,212
2020-04-14,80,75,234
2020-04-15,81,70,230
2020-04-16,85,71,221
2020-04-17,88,66,213
2020-04-18,93,59,192
2020-04-19,94,53,190
2020-04-20,95,53,193
2020-04-21,99,52,196
2020-04-22,99,55,198
2020-04-23,106,50,177
2020-04-24,106,49,177
2020-04-25,112,46,171
2020-04-26,113,49,179
2020-04-27,115,49,179
2020-04-28,116,40,178
2020-04-29,116,41,168
2020-04-30,118,38,160
2020-05-01,118,38,155
2020-05-02,118,38,157
2020-05-03,118,38,156
2020-05-04,121,38,156
2020-05-05,128,32,145
2020-05-06,132,31,140
2020-05-07,134,29,134
2020-05-08,134,29,124
2020-05-09,134,28,122
2020-05-10,134,28,124
2020-05-11,137,27,128
2020-05-12,136,29,130
2020-05-13,136,28,128
2020-05-14,137,27,118
2020-05-15,137,25,115
2020-05-16,138,24,108
2020-05-17,138,24,108
2020-05-18,142,20,95
2020-05-19,144,17,90
2020-05-20,144,16,86
2020-05-21,144,14,83
2020-05-22,146,12,80
2020-05-23,146,14,76
2020-05-24,146,14,76
2020-05-25,146,13,75
2020-05-26,146,12,61
2020-05-27,147,12,43
2020-05-28,148,13,39
2020-05-29,148,10,37
2020-05-30,148,5,33
2020-05-31,148,5,33
2020-06-01,148,5,33
2020-06-02,148,5,32
2020-06-03,148,5,29
2020-06-04,148,5,28
2020-06-05,148,6,29
2020-06-06,148,6,29
2020-06-07,148,5,28
2020-06-08,148,4,28
2020-06-09,149,4,27
2020-06-10,149,4,26
2020-06-11,149,4,25
