reg,clage_vacsi,n_tot_dose1,pop,taux_dose1,clage,taux_pasdose1
27,24,285,,,18-24 ans,
27,29,589,135303.0,0.4353192464320821,25-29 ans,99.56468075356791
27,39,2193,311073.0,0.7049792170969515,30-39 ans,99.29502078290305
27,49,3987,339642.0,1.1738830886639462,40-49 ans,98.82611691133606
27,59,11701,374051.0,3.1281830552518235,50-59 ans,96.87181694474818
27,64,4748,186671.0,2.5435123827482577,60-64 ans,97.45648761725174
27,69,3124,181451.0,1.7216769265531742,65-69 ans,98.27832307344683
27,74,3629,178094.0,2.037687962536638,70-74 ans,97.96231203746336
27,79,15118,108219.0,13.969820456666573,75-79 ans,86.03017954333343
27,80,33509,203285.0,16.483754335046854,80 ans et plus,83.51624566495315
