dep,jour,P,T,cl_age90,pop,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
90,2020-05-13,0,60,0,140145.0,0.0,,,
90,2020-05-14,1,67,0,140145.0,1.4925373134328357,,,
90,2020-05-15,1,81,0,140145.0,1.2345679012345678,,,
90,2020-05-16,0,36,0,140145.0,0.0,,,
90,2020-05-17,0,28,0,140145.0,0.0,,,
90,2020-05-18,7,134,0,140145.0,5.223880597014925,,,
90,2020-05-19,4,123,0,140145.0,3.2520325203252036,13.0,529.0,2.4574669187145557
90,2020-05-20,3,77,0,140145.0,3.896103896103896,16.0,546.0,2.93040293040293
90,2020-05-21,0,17,0,140145.0,0.0,15.0,496.0,3.024193548387097
90,2020-05-22,0,53,0,140145.0,0.0,14.0,468.0,2.9914529914529915
90,2020-05-23,1,19,0,140145.0,5.263157894736842,15.0,451.0,3.325942350332594
90,2020-05-24,1,2,0,140145.0,50.0,16.0,425.0,3.7647058823529407
90,2020-05-25,0,108,0,140145.0,0.0,9.0,399.0,2.2556390977443606
90,2020-05-26,0,118,0,140145.0,0.0,5.0,394.0,1.2690355329949239
90,2020-05-27,3,125,0,140145.0,2.4,5.0,442.0,1.1312217194570136
90,2020-05-28,4,84,0,140145.0,4.761904761904762,9.0,509.0,1.768172888015717
90,2020-05-29,2,171,0,140145.0,1.1695906432748537,11.0,627.0,1.7543859649122806
90,2020-05-30,1,62,0,140145.0,1.6129032258064515,11.0,670.0,1.6417910447761193
90,2020-05-31,1,45,0,140145.0,2.2222222222222223,11.0,713.0,1.5427769985974753
90,2020-06-01,1,44,0,140145.0,2.272727272727273,12.0,649.0,1.848998459167951
90,2020-06-02,1,136,0,140145.0,0.7352941176470588,13.0,667.0,1.9490254872563717
90,2020-06-03,2,107,0,140145.0,1.8691588785046727,12.0,649.0,1.848998459167951
90,2020-06-04,1,72,0,140145.0,1.3888888888888888,9.0,637.0,1.4128728414442702
90,2020-06-05,3,103,0,140145.0,2.912621359223301,10.0,569.0,1.7574692442882252
90,2020-06-06,0,56,0,140145.0,0.0,9.0,563.0,1.5985790408525755
90,2020-06-07,0,20,0,140145.0,0.0,8.0,538.0,1.486988847583643
90,2020-06-08,0,163,0,140145.0,0.0,7.0,657.0,1.06544901065449
90,2020-06-09,1,129,0,140145.0,0.7751937984496124,7.0,650.0,1.0769230769230769
90,2020-06-10,1,147,0,140145.0,0.6802721088435374,6.0,690.0,0.8695652173913043
90,2020-06-11,1,134,0,140145.0,0.7462686567164178,6.0,752.0,0.7978723404255319
90,2020-06-12,2,168,0,140145.0,1.1904761904761905,5.0,817.0,0.6119951040391677
90,2020-06-13,0,143,0,140145.0,0.0,5.0,904.0,0.5530973451327433
