Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,0,4,14
2020-03-19,0,3,14
2020-03-20,0,6,26
2020-03-21,0,6,26
2020-03-22,0,6,26
2020-03-23,0,6,26
2020-03-24,3,13,37
2020-03-25,6,18,44
2020-03-26,6,22,62
2020-03-27,6,23,67
2020-03-28,9,21,66
2020-03-29,10,18,66
2020-03-30,14,16,63
2020-03-31,19,15,69
2020-04-01,22,16,68
2020-04-02,28,15,77
2020-04-03,30,14,81
2020-04-04,33,16,80
2020-04-05,37,17,80
2020-04-06,44,16,79
2020-04-07,45,17,84
2020-04-08,45,18,87
2020-04-09,45,18,91
2020-04-10,47,17,89
2020-04-11,48,17,87
2020-04-12,49,17,85
2020-04-13,50,17,85
2020-04-14,51,18,95
2020-04-15,56,16,89
2020-04-16,57,16,89
2020-04-17,58,17,95
2020-04-18,58,17,96
2020-04-19,58,17,96
2020-04-20,60,19,90
2020-04-21,60,18,91
2020-04-22,62,17,91
2020-04-23,63,17,96
2020-04-24,63,15,114
2020-04-25,66,13,111
2020-04-26,67,13,113
2020-04-27,67,13,101
2020-04-28,67,13,98
2020-04-29,69,12,97
2020-04-30,69,9,101
2020-05-01,69,9,102
2020-05-02,70,8,101
2020-05-03,71,7,100
2020-05-04,73,7,98
2020-05-05,73,8,97
2020-05-06,73,4,93
2020-05-07,73,4,78
2020-05-08,74,5,77
2020-05-09,74,5,79
2020-05-10,74,5,80
2020-05-11,75,5,79
2020-05-12,75,3,77
2020-05-13,75,2,78
2020-05-14,76,2,79
2020-05-15,76,2,78
2020-05-16,76,2,78
2020-05-17,76,2,78
2020-05-18,77,3,77
2020-05-19,77,2,73
2020-05-20,77,1,72
2020-05-21,77,1,72
2020-05-22,77,1,72
2020-05-23,77,0,72
2020-05-24,77,0,72
2020-05-25,77,0,62
2020-05-26,77,0,48
2020-05-27,77,0,49
2020-05-28,77,0,48
2020-05-29,77,0,49
2020-05-30,77,0,50
2020-05-31,77,0,50
2020-06-01,77,0,50
2020-06-02,77,0,46
2020-06-03,77,0,41
2020-06-04,77,0,40
2020-06-05,77,0,39
2020-06-06,77,0,35
2020-06-07,77,0,35
2020-06-08,77,0,32
2020-06-09,77,0,25
2020-06-10,77,0,19
2020-06-11,77,0,19
2020-06-12,77,0,19
2020-06-13,77,0,19
2020-06-14,77,0,19
2020-06-15,77,0,19
2020-06-16,77,0,19
2020-06-17,77,0,19
2020-06-18,77,0,19
2020-06-19,77,0,19
2020-06-20,77,0,19
2020-06-21,77,0,19
2020-06-22,77,0,19
2020-06-23,77,0,19
2020-06-24,77,0,19
2020-06-25,77,0,19
2020-06-26,77,0,19
2020-06-27,77,0,19
2020-06-28,77,0,19
2020-06-29,77,0,19
2020-06-30,77,0,18
2020-07-01,77,0,18
2020-07-02,77,0,18
2020-07-03,77,0,18
2020-07-04,77,0,18
2020-07-05,77,0,18
2020-07-06,77,0,18
2020-07-07,77,0,15
